Strouse Cat ID,Item Name/Number,Vendor Name/Code,Primary Units Type,Primary Units Type ID,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Vendor 1 Name,Vendor 1 Id,Vendor 1 Subsidiary,Vendor 1 Preferred,Vendor 1 Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
21713,5909-W6,5909,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"5909, VHB Tape, Black, 12 mil (0.30 mm)",TRUE,4.503981481,Digi-Key Corporation,3317,The Strouse Corporation,TRUE,4.503981481,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21715,510 Black-W18,510 Black,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,Safety Walk,TRUE,6.7158,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,6.7158,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21724,4317-001125W-W1.125,4317-001125W,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"3.020"" ID, 0.125"" REX Tape, White liner, Parch cover",TRUE,,"Yazoo Mills, Inc.",3272,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21728,4317-01100P-W11,4317-01100P,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"3.020"" ID, 0.125"" REX Tape, Strouse liner, Parch cover. Saw cut",TRUE,,"Yazoo Mills, Inc.",3272,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21729,4317-00350W-W3.5,4317-00350W,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"3.020"" ID, 0.125"" REX Tape, White liner, Parch cover.",TRUE,,"Yazoo Mills, Inc.",3272,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21730,CSM - 4962-W54,CSM - 4962,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,6 mil  Double-sided non-woven,TRUE,0,Piedmont National,3554,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21731,9611-W35.43,9611,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"9611 AM, 43 mil black LSE",TRUE,8.333333333,AFTC USA Inc.,3393,The Strouse Corporation,TRUE,8.333333333,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21733,880-W48,880,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,Filament Tape 880 Translucent ,TRUE,4.884463333,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,4.884463333,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21734,9495LE w/ plastic core-W54,9495LE w/ plastic core,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"6.7 mil, D/C PET, 300LSE, 58#PCK - LOG",TRUE,5.500016667,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,5.500016667,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21735,97057-W12,97057,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"Conductive Transfer Tape, 2.0 mil",TRUE,11.39092593,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,11.39092593,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21737,4317-001890W-W1.89,4317-001890W,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"3.020"" ID, 0.125"" REX Tape, White liner, Parch cover.",TRUE,,"Yazoo Mills, Inc.",3272,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21738,Volara 6A White-W60,Volara 6A White,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"Foam, Volara 6A White, .063"" x 60"" x 1050'",TRUE,1.527980952,Rubberlite,3303,The Strouse Corporation,TRUE,1.527980952,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
