Reference #,Adjustment Account,Date,Posting Period,Memo,Subsidiary,Department,Item,Item,Item ID,Item ID Sandipan,Location,Units,Adjust Qty By,Est. Unit Cost,Department,Class,Memo,,Lot/Serial (for lot numbered item),Expiration Date (for lot numbered item),Lot Quantity (for lot numbered item)
,6536 Valuation Adjustments,3/17/2025,,Opening Balance,Western Consolidated Technologies,,WFFL050027010Q-MXX00W,WFFL050027010Q-MXX00W,32397,32397,WCT HQ,EA,,0.10712,,FL,,E1-FG,4/30/2025,,125
,6537 Valuation Adjustments,11/10/2015,,Opening Balance,Western Consolidated Technologies,,WSNC054038012D-PZX40N,WSNC054038012D-PZX40N,32407,32407,WCT HQ,EA,,0.27736,,NC,,E1-FG,4/30/2025,,94
,6538 Valuation Adjustments,2/26/2025,,Opening Balance,Western Consolidated Technologies,,WSOR017010010D-DA050N,WSOR017010010D-DA050N,32413,32413,WCT HQ,EA,,0.42885,,OR,,E1-FG,4/30/2025,,95
,6539 Valuation Adjustments,3/18/2025,,Opening Balance,Western Consolidated Technologies,,WFFL074051012Q-PCG10K,WFFL074051012Q-PCG10K,32421,32421,WCT HQ,EA,,0.08265,,FL,,E1-FG,4/30/2025,,630
,6540 Valuation Adjustments,9/27/2024,,Opening Balance,Western Consolidated Technologies,,WFFB105076012Q-PCG10K,WFFB105076012Q-PCG10K,32422,32422,WCT HQ,EA,,0.15146,,FB,,E1-FG,4/30/2025,,1100
,6541 Valuation Adjustments,12/31/2024,,Opening Balance,Western Consolidated Technologies,,WFFB130101014Q-PCG10K,WFFB130101014Q-PCG10K,32423,32423,WCT HQ,EA,,0.1933,,FB,,E1-FG,4/30/2025,,100
,6542 Valuation Adjustments,4/21/2025,,Opening Balance,Western Consolidated Technologies,,WPSM150135008D-PGX15B,WPSM150135008D-PGX15B,32441,32441,WCT HQ,EA,,0.06006,,SM,,E1-FG,4/30/2025,,7072
,6543 Valuation Adjustments,2/18/2025,,Opening Balance,Western Consolidated Technologies,,WPOS233213021S-PZX40N,WPOS233213021S-PZX40N,32445,32445,WCT HQ,EA,,0.87454,,MP,,E1-FG,4/30/2025,,52
,6544 Valuation Adjustments,11/21/2023,,Opening Balance,Western Consolidated Technologies,,WSMP227197017D-BU23GN,WSMP227197017D-BU23GN,32454,32454,WCT HQ,EA,,2.40451,,MP,,E1-FG,4/30/2025,,371
,6545 Valuation Adjustments,12/11/2024,,Opening Balance,Western Consolidated Technologies,,WSNC066042013D-MXX00W,WSNC066042013D-MXX00W,32455,32455,WCT HQ,EA,,0.40111,,NC,,E1-FG,4/30/2025,,80
,6546 Valuation Adjustments,2/25/2025,,Opening Balance,Western Consolidated Technologies,,WSMP128092018D-MXX00W,WSMP128092018D-MXX00W,32457,32457,WCT HQ,EA,,0.90342,,MP,,E1-FG,4/30/2025,,14
,6547 Valuation Adjustments,4/4/2025,,Opening Balance,Western Consolidated Technologies,,WSNC149100050D-PXX00W,WSNC149100050D-PXX00W,32465,32465,WCT HQ,EA,,0.83642,,NC,,E1-FG,4/30/2025,,49
,6548 Valuation Adjustments,9/12/2024,,Opening Balance,Western Consolidated Technologies,,WPOT140112005D-PXX00W,WPOT140112005D-PXX00W,32470,32470,WCT HQ,EA,,0.12062,,OT,,E1-FG,4/30/2025,,147
,6549 Valuation Adjustments,2/24/2025,,Opening Balance,Western Consolidated Technologies,,WSMP102013018D-PRX10K,WSMP102013018D-PRX10K,32478,32478,WCT HQ,EA,,0.75868,,MP,,E1-FG,4/30/2025,,22
,6550 Valuation Adjustments,2/20/2024,,Opening Balance,Western Consolidated Technologies,,23382,23382,51788,51788,WCT HQ,EA,,0.21493,,OS,,E1-FG,4/30/2025,,366
,6551 Valuation Adjustments,2/14/2013,,Opening Balance,Western Consolidated Technologies,,WSNCV3MFX25PCG,WSNCV3MFX25PCG,32482,32482,WCT HQ,EA,,8.39328,,NC,,E1-FG,4/30/2025,,38
,6552 Valuation Adjustments,2/7/2025,,Opening Balance,Western Consolidated Technologies,,WSMP030000006D-PXX00W,WSMP030000006D-PXX00W,32490,32490,WCT HQ,EA,,0.42081,,MP,,E1-FG,4/30/2025,,15
,6553 Valuation Adjustments,1/3/2025,,Opening Balance,Western Consolidated Technologies,,WSNC061044019D-PGM15K,WSNC061044019D-PGM15K,32492,32492,WCT HQ,EA,,0.42305,,NC,,E1-FG,4/30/2025,,221
,6554 Valuation Adjustments,6/7/2023,,Opening Balance,Western Consolidated Technologies,,WSMP800790017D-PMX05K,WSMP800790017D-PMX05K,32494,32494,WCT HQ,EA,,3.17902,,MP,,E1-FG,4/30/2025,,3
,6555 Valuation Adjustments,11/21/2024,,Opening Balance,Western Consolidated Technologies,,WSNC280219055D-PGM15K,WSNC280219055D-PGM15K,32504,32504,WCT HQ,EA,,2.55966,,NC,,E1-FG,4/30/2025,,165
,6556 Valuation Adjustments,12/26/2023,,Opening Balance,Western Consolidated Technologies,,WSMPS2G3030PMX,WSMPS2G3030PMX,32512,32512,WCT HQ,EA,,0.37686,,MP,,E1-FG,4/30/2025,,199
,6557 Valuation Adjustments,2/20/2025,,Opening Balance,Western Consolidated Technologies,,WSNC166146015D-PFX15K,WSNC166146015D-PFX15K,32513,32513,WCT HQ,EA,,0.32968,,NC,,E1-FG,4/30/2025,,53
,6558 Valuation Adjustments,2/20/2025,,Opening Balance,Western Consolidated Technologies,,WSNC191171015D-PFX15K,WSNC191171015D-PFX15K,32514,32514,WCT HQ,EA,,0.32052,,NC,,E1-FG,4/30/2025,,204
,6559 Valuation Adjustments,4/9/2019,,Opening Balance,Western Consolidated Technologies,,WFFL116225371Q-PGM15K,WFFL116225371Q-PGM15K,32519,32519,WCT HQ,EA,,0.07568,,FL,,E1-FG,4/30/2025,,1175
,6560 Valuation Adjustments,9/18/2024,,Opening Balance,Western Consolidated Technologies,,WPOS179162004D-PXX00W,WPOS179162004D-PXX00W,32521,32521,WCT HQ,EA,,0.28624,,OS,,E1-FG,4/30/2025,,355
,6561 Valuation Adjustments,5/24/2024,,Opening Balance,Western Consolidated Technologies,,WSMP061026070D-PXX00W,WSMP061026070D-PXX00W,32524,32524,WCT HQ,EA,,2.07528,,MP,,E1-FG,4/30/2025,,13
,6562 Valuation Adjustments,4/23/2025,,Opening Balance,Western Consolidated Technologies,,WPOT040027006D-PXX00W,WPOT040027006D-PXX00W,32532,32532,WCT HQ,EA,,0.06916,,OT,,E1-FG,4/30/2025,,333
,6563 Valuation Adjustments,11/27/2024,,Opening Balance,Western Consolidated Technologies,,WPOT082074010Q-PPM15K,WPOT082074010Q-PPM15K,32545,32545,WCT HQ,EA,,0.11831,,NC,,E1-FG,4/30/2025,,860
,6564 Valuation Adjustments,4/23/2024,,Opening Balance,Western Consolidated Technologies,,WFFS088069113D-PXX00W,WFFS088069113D-PXX00W,32558,32558,WCT HQ,EA,,0.4824,,FS,,E1-FG,4/30/2025,,126
,6565 Valuation Adjustments,9/10/2024,,Opening Balance,Western Consolidated Technologies,,WPOT087072004D-PGX15W,WPOT087072004D-PGX15W,32561,32561,WCT HQ,EA,,0.06413,,OT,,E1-FG,4/30/2025,,350
,6566 Valuation Adjustments,3/7/2014,,Opening Balance,Western Consolidated Technologies,,WPSS118163006D-PYX07W,WPSS118163006D-PYX07W,32564,32564,WCT HQ,EA,,0.15168,,SS,,E1-FG,4/30/2025,,40
,6567 Valuation Adjustments,7/19/2023,,Opening Balance,Western Consolidated Technologies,,WSNC061052210D-PZX40N,WSNC061052210D-PZX40N,32576,32576,WCT HQ,EA,,0.19514,,NC,,E1-FG,4/30/2025,,1448
,6568 Valuation Adjustments,11/8/2019,,Opening Balance,Western Consolidated Technologies,,WPOT307294025D-PGX25W,WPOT307294025D-PGX25W,32579,32579,WCT HQ,EA,,1.29093,,OT,,E1-FG,4/30/2025,,51
,6569 Valuation Adjustments,11/16/2020,,Opening Balance,Western Consolidated Technologies,,WFFB187150017Q-PCG10K,WFFB187150017Q-PCG10K,32596,32596,WCT HQ,EA,,0.26041,,FB,,E1-FG,4/30/2025,,76
,6570 Valuation Adjustments,3/9/2022,,Opening Balance,Western Consolidated Technologies,,WFFH297251023Q-PCG10K,WFFH297251023Q-PCG10K,32598,32598,WCT HQ,EA,,0.54473,,FH,,E1-FG,4/30/2025,,130
,6571 Valuation Adjustments,6/5/2024,,Opening Balance,Western Consolidated Technologies,,WFFH355301027Q-PCG10K,WFFH355301027Q-PCG10K,32599,32599,WCT HQ,EA,,0.83115,,FH,,E1-FG,4/30/2025,,110
,6572 Valuation Adjustments,12/27/2024,,Opening Balance,Western Consolidated Technologies,,WSNC485475017D-PXX00W,WSNC485475017D-PXX00W,32601,32601,WCT HQ,EA,,0.95092,,NC,,E1-FG,4/30/2025,,43
,6573 Valuation Adjustments,10/7/2022,,Opening Balance,Western Consolidated Technologies,,WFFB101089015Q-PGX25K,WFFB101089015Q-PGX25K,32603,32603,WCT HQ,EA,,0.11399,,FB,,E1-FG,4/30/2025,,20530
,6574 Valuation Adjustments,6/29/2023,,Opening Balance,Western Consolidated Technologies,,WFFB111099015Q-PGX25W,WFFB111099015Q-PGX25W,32604,32604,WCT HQ,EA,,0.11196,,FB,,E1-FG,4/30/2025,,34189
,6575 Valuation Adjustments,1/24/2025,,Opening Balance,Western Consolidated Technologies,,WSNC111092013D-PMX05K,WSNC111092013D-PMX05K,32606,32606,WCT HQ,EA,,0.28998,,NC,,E1-FG,4/30/2025,,83
,6576 Valuation Adjustments,12/26/2023,,Opening Balance,Western Consolidated Technologies,,WSMP092067012S-PGM05K,WSMP092067012S-PGM05K,32618,32618,WCT HQ,EA,,0.29607,,MP,,E1-FG,4/30/2025,,174
,6577 Valuation Adjustments,2/10/2022,,Opening Balance,Western Consolidated Technologies,,WPOT161145007D-PZF30N,WPOT161145007D-PZF30N,32619,32619,WCT HQ,EA,,0.14557,,OT,,E1-FG,4/30/2025,,278
,6578 Valuation Adjustments,11/20/2023,,Opening Balance,Western Consolidated Technologies,,WSMP157143013Z-PAR10K,WSMP157143013Z-PAR10K,32621,32621,WCT HQ,EA,,0.44228,,MP,,E1-FG,4/30/2025,,112
,6579 Valuation Adjustments,4/21/2025,,Opening Balance,Western Consolidated Technologies,,WFFL079015008L-PGM15K,WFFL079015008L-PGM15K,32628,32628,WCT HQ,EA,,0.074,,FL,,E1-FG,4/30/2025,,3684
,6580 Valuation Adjustments,8/7/2024,,Opening Balance,Western Consolidated Technologies,,WSOR052022013D-DU075Y,WSOR052022013D-DU075Y,32635,32635,WCT HQ,EA,,0.38706,,OR,,E1-FG,4/30/2025,,918
,6581 Valuation Adjustments,4/14/2025,,Opening Balance,Western Consolidated Technologies,,WPOT341327011D-GGX15B,WPOT341327011D-GGX15B,32639,32639,WCT HQ,EA,,0.37498,,OT,,E1-FG,4/30/2025,,70
,6582 Valuation Adjustments,9/9/2020,,Opening Balance,Western Consolidated Technologies,,WSNC022008006D-PXX00W,WSNC022008006D-PXX00W,32641,32641,WCT HQ,EA,,0.27122,,NC,,E1-FG,4/30/2025,,200
,6583 Valuation Adjustments,2/18/2025,,Opening Balance,Western Consolidated Technologies,,WPOS049039004S-PCR23K,WPOS049039004S-PCR23K,32660,32660,WCT HQ,EA,,0.13992,,MP,,E1-FG,4/30/2025,,170
,6584 Valuation Adjustments,5/28/2024,,Opening Balance,Western Consolidated Technologies,,WSOR065034016D-DU075Y,WSOR065034016D-DU075Y,32662,32662,WCT HQ,EA,,0.31882,,OR,,E1-FG,4/30/2025,,49
,6585 Valuation Adjustments,1/22/2025,,Opening Balance,Western Consolidated Technologies,,WPOT059044003D-PXX00W,WPOT059044003D-PXX00W,32663,32663,WCT HQ,EA,,0.05633,,OT,,E1-FG,4/30/2025,,241
,6586 Valuation Adjustments,1/16/2025,,Opening Balance,Western Consolidated Technologies,,WSNC043017004Q-PNX15W,WSNC043017004Q-PNX15W,32667,32667,WCT HQ,EA,,0.21925,,NC,,E1-FG,4/30/2025,,100
,6587 Valuation Adjustments,10/9/2024,,Opening Balance,Western Consolidated Technologies,,WPOS299256006S-PGX15W,WPOS299256006S-PGX15W,32668,32668,WCT HQ,EA,,0.4185,,OS,,E1-FG,4/30/2025,,1395
,6588 Valuation Adjustments,8/13/2024,,Opening Balance,Western Consolidated Technologies,,WPOT073062005D-PGX15W,WPOT073062005D-PGX15W,32688,32688,WCT HQ,EA,,0.0697,,OT,,E1-FG,4/30/2025,,11
,6589 Valuation Adjustments,10/25/2024,,Opening Balance,Western Consolidated Technologies,,WSMP111091014D-PMX05K,WSMP111091014D-PMX05K,32692,32692,WCT HQ,EA,,0.46785,,MP,,E1-FG,4/30/2025,,94
,6590 Valuation Adjustments,8/7/2024,,Opening Balance,Western Consolidated Technologies,,WSMP775750062D-PCR23K,WSMP775750062D-PCR23K,32703,32703,WCT HQ,EA,,11.90858,,MP,,E1-FG,4/30/2025,,3
,6591 Valuation Adjustments,10/21/2021,,Opening Balance,Western Consolidated Technologies,,WSMP540350170L-PSX05S,WSMP540350170L-PSX05S,32706,32706,WCT HQ,EA,,33.70928,,MP,,E1-FG,4/30/2025,,17
,6592 Valuation Adjustments,9/5/2024,,Opening Balance,Western Consolidated Technologies,,WSNC144120013D-PMX05K,WSNC144120013D-PMX05K,32717,32717,WCT HQ,EA,,0.31935,,NC,,E1-FG,4/30/2025,,117
,6593 Valuation Adjustments,1/21/2025,,Opening Balance,Western Consolidated Technologies,,WSOR194171006D-BK20FN,WSOR194171006D-BK20FN,32732,32732,WCT HQ,EA,,1.91987,,OR,,E1-FG,4/30/2025,,93
,6594 Valuation Adjustments,11/8/2019,,Opening Balance,Western Consolidated Technologies,,WSNC308294025D-PGX25W,WSNC308294025D-PGX25W,32734,32734,WCT HQ,EA,,2.21679,,NC,,E1-FG,4/30/2025,,32
,6595 Valuation Adjustments,11/11/2024,,Opening Balance,Western Consolidated Technologies,,WSNC068062007D-MFX15N,WSNC068062007D-MFX15N,32736,32736,WCT HQ,EA,,0.09302,,NC,,E1-FG,4/30/2025,,933
,6596 Valuation Adjustments,12/4/2024,,Opening Balance,Western Consolidated Technologies,,23640,23640,51858,51858,WCT HQ,EA,,0.19602,,NC,,E1-FG,4/30/2025,,197
,6597 Valuation Adjustments,3/13/2025,,Opening Balance,Western Consolidated Technologies,,WSNC068060007D-PCF18K,WSNC068060007D-PCF18K,32749,32749,WCT HQ,EA,,0.15654,,NC,,E1-FG,4/30/2025,,1806
,6598 Valuation Adjustments,10/31/2024,,Opening Balance,Western Consolidated Technologies,,WPOT332287006D-MSX50S,WPOT332287006D-MSX50S,32755,32755,WCT HQ,EA,,0.74608,,NC,,E1-FG,4/30/2025,,77
,6599 Valuation Adjustments,8/23/2023,,Opening Balance,Western Consolidated Technologies,,WSOR174137018D-BA19DN,WSOR174137018D-BA19DN,32767,32767,WCT HQ,EA,,1.06545,,OR,,E1-FG,4/30/2025,,120
,6600 Valuation Adjustments,3/6/2025,,Opening Balance,Western Consolidated Technologies,,WSNC067040029D-PXX00W,WSNC067040029D-PXX00W,32774,32774,WCT HQ,EA,,0.44865,,NC,,E1-FG,4/30/2025,,7
,6601 Valuation Adjustments,8/16/2024,,Opening Balance,Western Consolidated Technologies,,WSMP562407035Q-PSX50S,WSMP562407035Q-PSX50S,32780,32780,WCT HQ,EA,,12.9294,,MP,,E1-FG,4/30/2025,,15
,6602 Valuation Adjustments,3/28/2019,,Opening Balance,Western Consolidated Technologies,,WPOT276237009D-PXX00W,WPOT276237009D-PXX00W,32783,32783,WCT HQ,EA,,0.30433,,OT,,E1-FG,4/30/2025,,159
,6603 Valuation Adjustments,3/18/2025,,Opening Balance,Western Consolidated Technologies,,WSOR025000037D-DV050N,WSOR025000037D-DV050N,32788,32788,WCT HQ,EA,,0.66112,,OR,,E1-FG,4/30/2025,,27
,6604 Valuation Adjustments,5/31/2019,,Opening Balance,Western Consolidated Technologies,,WSOR276264011D-DU300N,WSOR276264011D-DU300N,32794,32794,WCT HQ,EA,,0.60242,,OR,,E1-FG,4/30/2025,,58
,6605 Valuation Adjustments,5/29/2019,,Opening Balance,Western Consolidated Technologies,,WSOR231220011D-DU250N,WSOR231220011D-DU250N,32795,32795,WCT HQ,EA,,0.53668,,OR,,E1-FG,4/30/2025,,36
,6606 Valuation Adjustments,9/27/2023,,Opening Balance,Western Consolidated Technologies,,WSNC125098012D-PXX00W,WSNC125098012D-PXX00W,32799,32799,WCT HQ,EA,,0.45356,,NC,,E1-FG,4/30/2025,,39
,6607 Valuation Adjustments,4/22/2025,,Opening Balance,Western Consolidated Technologies,,WSNC113068028Q-MXX00W,WSNC113068028Q-MXX00W,32801,32801,WCT HQ,EA,,0.539,,NC,,E1-FG,4/30/2025,,744
,6608 Valuation Adjustments,2/26/2024,,Opening Balance,Western Consolidated Technologies,,WPOT041037005D-MXX00T,WPOT041037005D-MXX00T,32803,32803,WCT HQ,EA,,0.06028,,OT,,E1-FG,4/30/2025,,158
,6609 Valuation Adjustments,8/17/2023,,Opening Balance,Western Consolidated Technologies,,WSLD568480020D-MSX50S,WSLD568480020D-MSX50S,32804,32804,WCT HQ,EA,,1.66631,,LD,,E1-FG,4/30/2025,,14
,6610 Valuation Adjustments,9/12/2024,,Opening Balance,Western Consolidated Technologies,,WPOT101087008D-PGX15W,WPOT101087008D-PGX15W,32808,32808,WCT HQ,EA,,0.10647,,OT,,E1-FG,4/30/2025,,891
,6611 Valuation Adjustments,3/8/2023,,Opening Balance,Western Consolidated Technologies,,WSNC109099017Q-MXX00T,WSNC109099017Q-MXX00T,32809,32809,WCT HQ,EA,,0.36865,,NC,,E1-FG,4/30/2025,,180
,6612 Valuation Adjustments,12/5/2018,,Opening Balance,Western Consolidated Technologies,,WSMP026000026D-PXX00W,WSMP026000026D-PXX00W,32810,32810,WCT HQ,EA,,0.53462,,MP,,E1-FG,4/30/2025,,68
,6613 Valuation Adjustments,11/22/2024,,Opening Balance,Western Consolidated Technologies,,WSMP322306039B-PYX07N,WSMP322306039B-PYX07N,32820,32820,WCT HQ,EA,,2.24512,,MP,,E1-FG,4/30/2025,,216
,6614 Valuation Adjustments,2/28/2025,,Opening Balance,Western Consolidated Technologies,,WFFH402288020D-PXX00W,WFFH402288020D-PXX00W,32821,32821,WCT HQ,EA,,0.6738,,FH,,E1-FG,4/30/2025,,85
,6615 Valuation Adjustments,2/28/2025,,Opening Balance,Western Consolidated Technologies,,WSNC351337026Q-MXX00T,WSNC351337026Q-MXX00T,32822,32822,WCT HQ,EA,,1.41695,,NC,,E1-FG,4/30/2025,,56
,6616 Valuation Adjustments,3/11/2024,,Opening Balance,Western Consolidated Technologies,,WPOS081056004S-PXX00W,WPOS081056004S-PXX00W,32823,32823,WCT HQ,EA,,0.11045,,OS,,E1-FG,4/30/2025,,378
,6617 Valuation Adjustments,8/16/2021,,Opening Balance,Western Consolidated Technologies,,WSNC200175007D-PCR23K,WSNC200175007D-PCR23K,32826,32826,WCT HQ,EA,,0.22065,,NC,,E1-FG,4/30/2025,,35
,6618 Valuation Adjustments,4/9/2025,,Opening Balance,Western Consolidated Technologies,,23727,23727,51887,51887,WCT HQ,EA,,0.11091,,FH,,E1-FG,4/30/2025,,74
,6619 Valuation Adjustments,2/9/2024,,Opening Balance,Western Consolidated Technologies,,WPOT313302010D-PGX25W,WPOT313302010D-PGX25W,32833,32833,WCT HQ,EA,,0.38738,,OT,,E1-FG,4/30/2025,,288
,6620 Valuation Adjustments,2/4/2019,,Opening Balance,Western Consolidated Technologies,,WSMP464350170L-PSX05S,WSMP464350170L-PSX05S,32836,32836,WCT HQ,EA,,34.74094,,PT,,E1-FG,4/30/2025,,11
,6621 Valuation Adjustments,10/4/2019,,Opening Balance,Western Consolidated Technologies,,WFFH304236018D-PSB50B,WFFH304236018D-PSB50B,32847,32847,WCT HQ,EA,,0.87358,,FH,,E1-FG,4/30/2025,,156
,6622 Valuation Adjustments,10/13/2023,,Opening Balance,Western Consolidated Technologies,,WSOR087068009D-DA100N,WSOR087068009D-DA100N,32852,32852,WCT HQ,EA,,0.23994,,OR,,E1-FG,4/30/2025,,368
,6623 Valuation Adjustments,9/23/2024,,Opening Balance,Western Consolidated Technologies,,WSNC281258012D-MXX00W,WSNC281258012D-MXX00W,32859,32859,WCT HQ,EA,,1.09764,,NC,,E1-FG,4/30/2025,,38
,6624 Valuation Adjustments,2/21/2025,,Opening Balance,Western Consolidated Technologies,,WSNC206181011D-MXX00W,WSNC206181011D-MXX00W,32860,32860,WCT HQ,EA,,1.0296,,NC,,E1-FG,4/30/2025,,72
,6625 Valuation Adjustments,12/10/2019,,Opening Balance,Western Consolidated Technologies,,WSOR137081006D-DF150N,WSOR137081006D-DF150N,32862,32862,WCT HQ,EA,,0.44456,,OR,,E1-FG,4/30/2025,,87
,6626 Valuation Adjustments,12/19/2024,,Opening Balance,Western Consolidated Technologies,,WFFL062044005D-PGX15W,WFFL062044005D-PGX15W,32868,32868,WCT HQ,EA,,0.13287,,FL,,E1-FG,4/30/2025,,59166
,6627 Valuation Adjustments,6/10/2024,,Opening Balance,Western Consolidated Technologies,,WSNC188163011D-MXX00W,WSNC188163011D-MXX00W,32869,32869,WCT HQ,EA,,0.7109,,NC,,E1-FG,4/30/2025,,48
,6628 Valuation Adjustments,10/26/2023,,Opening Balance,Western Consolidated Technologies,,WFFL035000011D-PXX00W,WFFL035000011D-PXX00W,32871,32871,WCT HQ,EA,,0.16629,,FL,,E1-FG,4/30/2025,,1465
,6629 Valuation Adjustments,4/30/2024,,Opening Balance,Western Consolidated Technologies,,WPOT036033007D-MXX00T,WPOT036033007D-MXX00T,32874,32874,WCT HQ,EA,,0.08005,,OT,,E1-FG,4/30/2025,,247
,6630 Valuation Adjustments,7/20/2023,,Opening Balance,Western Consolidated Technologies,,WSMP402372023D-PYX07N,WSMP402372023D-PYX07N,32883,32883,WCT HQ,EA,,1.36307,,MP,,E1-FG,4/30/2025,,143
,6631 Valuation Adjustments,7/9/2024,,Opening Balance,Western Consolidated Technologies,,WSNC080063011D-PGX15W,WSNC080063011D-PGX15W,32896,32896,WCT HQ,EA,,0.33227,,NC,,E1-FG,4/30/2025,,128
,6632 Valuation Adjustments,7/15/2024,,Opening Balance,Western Consolidated Technologies,,WSNC125106027D-PGX15W,WSNC125106027D-PGX15W,32897,32897,WCT HQ,EA,,0.56884,,NC,,E1-FG,4/30/2025,,44
,6633 Valuation Adjustments,7/25/2024,,Opening Balance,Western Consolidated Technologies,,WSMP099074006Z-PXX00W,WSMP099074006Z-PXX00W,32900,32900,WCT HQ,EA,,0.18979,,MP,,E1-FG,4/30/2025,,237
,6634 Valuation Adjustments,3/19/2025,,Opening Balance,Western Consolidated Technologies,,WSNC045022013D-PRX10K,WSNC045022013D-PRX10K,32906,32906,WCT HQ,EA,,0.34671,,NC,,E1-FG,4/30/2025,,95
,6635 Valuation Adjustments,12/14/2022,,Opening Balance,Western Consolidated Technologies,,WSNC149123012D-PXX00W,WSNC149123012D-PXX00W,32907,32907,WCT HQ,EA,,0.41913,,NC,,E1-FG,4/30/2025,,32
,6636 Valuation Adjustments,12/12/2024,,Opening Balance,Western Consolidated Technologies,,WSMP424421049S-MPC10K,WSMP424421049S-MPC10K,32909,32909,WCT HQ,EA,,4.52579,,MP,,E1-FG,4/30/2025,,5
,6637 Valuation Adjustments,4/25/2024,,Opening Balance,Western Consolidated Technologies,,WSMPS2C2L12MPC,WSMPS2C2L12MPC,32910,32910,WCT HQ,EA,,9.41493,,MP,,E1-FG,4/30/2025,,24
,6638 Valuation Adjustments,12/12/2024,,Opening Balance,Western Consolidated Technologies,,WSMP112099049D-MPC10K,WSMP112099049D-MPC10K,32913,32913,WCT HQ,EA,,0.90911,,MP,,E1-FG,4/30/2025,,82
,6639 Valuation Adjustments,12/12/2024,,Opening Balance,Western Consolidated Technologies,,WSMP056045049S-MPC10K,WSMP056045049S-MPC10K,32915,32915,WCT HQ,EA,,0.7508,,MP,,E1-FG,4/30/2025,,27
,6640 Valuation Adjustments,12/27/2024,,Opening Balance,Western Consolidated Technologies,,WSNC201179011D-PGM15K,WSNC201179011D-PGM15K,32918,32918,WCT HQ,EA,,0.4227,,NC,,E1-FG,4/30/2025,,139
,6641 Valuation Adjustments,12/30/2024,,Opening Balance,Western Consolidated Technologies,,WSMP148090026D-PCR23K,WSMP148090026D-PCR23K,32919,32919,WCT HQ,EA,,1.48899,,MP,,E1-FG,4/30/2025,,21
,6642 Valuation Adjustments,2/28/2025,,Opening Balance,Western Consolidated Technologies,,WSNC201174013D-PCR23K,WSNC201174013D-PCR23K,32920,32920,WCT HQ,EA,,0.66495,,NC,,E1-FG,4/30/2025,,177
,6643 Valuation Adjustments,12/2/2024,,Opening Balance,Western Consolidated Technologies,,WSMP183155012D-MXX00T,WSMP183155012D-MXX00T,32923,32923,WCT HQ,EA,,1.09211,,MP,,E1-FG,4/30/2025,,459
,6644 Valuation Adjustments,6/23/2023,,Opening Balance,Western Consolidated Technologies,,WSOR030008024D-DU050Y,WSOR030008024D-DU050Y,32946,32946,WCT HQ,EA,,0.91289,,OR,,E1-FG,4/30/2025,,83
,6645 Valuation Adjustments,3/21/2024,,Opening Balance,Western Consolidated Technologies,,WPOT171160004D-PGX15W,WPOT171160004D-PGX15W,32959,32959,WCT HQ,EA,,0.09121,,OT,,E1-FG,4/30/2025,,226
,6646 Valuation Adjustments,5/17/2023,,Opening Balance,Western Consolidated Technologies,,WSMP219194087S-PGX25R,WSMP219194087S-PGX25R,32960,32960,WCT HQ,EA,,2.90404,,MP,,E1-FG,4/30/2025,,66
,6647 Valuation Adjustments,3/28/2023,,Opening Balance,Western Consolidated Technologies,,WSMP475450025D-PGX25R,WSMP475450025D-PGX25R,32961,32961,WCT HQ,EA,,2.37248,,MP,,E1-FG,4/30/2025,,19
,6648 Valuation Adjustments,8/30/2021,,Opening Balance,Western Consolidated Technologies,,WSMP136065015D-DV150N,WSMP136065015D-DV150N,32962,32962,WCT HQ,EA,,0.6782,,MP,,E1-FG,4/30/2025,,40
,6649 Valuation Adjustments,4/25/2025,,Opening Balance,Western Consolidated Technologies,,WSNC240202021D-MXX00W,WSNC240202021D-MXX00W,32969,32969,WCT HQ,EA,,0.8159,,NC,,E1-FG,4/30/2025,,1059
,6650 Valuation Adjustments,2/15/2021,,Opening Balance,Western Consolidated Technologies,,WPOT129117006Q-PRX10K,WPOT129117006Q-PRX10K,32984,32984,WCT HQ,EA,,0.08905,,OT,,E1-FG,4/30/2025,,455
,6651 Valuation Adjustments,7/31/2018,,Opening Balance,Western Consolidated Technologies,,WSSL468384020D-PXX00W,WSSL468384020D-PXX00W,32998,32998,WCT HQ,EA,,0.92517,,SL,,E1-FG,4/30/2025,,89
,6652 Valuation Adjustments,10/23/2018,,Opening Balance,Western Consolidated Technologies,,WPOT129117008Q-PGX15W,WPOT129117008Q-PGX15W,33002,33002,WCT HQ,EA,,0.11856,,OT,,E1-FG,4/30/2025,,5056
,6653 Valuation Adjustments,3/2/2022,,Opening Balance,Western Consolidated Technologies,,WSNC163149008D-PRX10K,WSNC163149008D-PRX10K,33005,33005,WCT HQ,EA,,0.44719,,NC,,E1-FG,4/30/2025,,342
,6654 Valuation Adjustments,3/16/2023,,Opening Balance,Western Consolidated Technologies,,WSNC032012029D-DK037N,WSNC032012029D-DK037N,33008,33008,WCT HQ,EA,,0.85718,,OR,,E1-FG,4/30/2025,,2041
,6655 Valuation Adjustments,9/18/2024,,Opening Balance,Western Consolidated Technologies,,WSOR037023006S-DV050N,WSOR037023006S-DV050N,33012,33012,WCT HQ,EA,,0.27802,,OR,,E1-FG,4/30/2025,,96
