Internal ID,Internal ID,Name,Legacy Vendor ID,Acount Number
2941,2941,GUARDIAN ELECTRIC,"3,265,442,654",32654
2942,2942,"GUHL MACHINE COMPANY, INC.",32874,32874
2943,2943,"H.P. NEUN CO., INC.",32232,32232
2944,2944,HAGGARD & STOCKING,30225,30225
2945,2945,HAMILTON AND SON SERVICE,30336,30336
2946,2946,HARBOR FREIGHT TOOLS,32397,32397
2947,2947,HARDINGE INC.,43017,43017
2948,2948,HARRIS BANK,30086,30086
2949,2949,HARTFORD TECHNOLOGIES,32851,32851
2950,2950,HARVEY & COMPANY LLC,32025,32025
2951,2951,HARWICK STANDARD CORP.,31306,31306
2952,2952,HAWKINS INDUSTRIAL RESOURCE CO,31153,31153
2953,2953,HAWKS SALES CORP.,41307,41307
2954,2954,HEALTH CARE SERVICE CORP.,30087,30087
2955,2955,"HERITAGE CRYSTAL CLEAN, LLC",43093,43093
2956,2956,Hexpol,40069,40069
2957,2957,HEXPOL COMPOUNDING LLC.,31833,31833
2958,2958,HEXPOL MIDDLEFIELD,30256,30256
2959,2959,HFO CHICAGO(218)-HASS FACTORY,98311,98311
2960,2960,"HGR INDUSTRIAL SURPLUS, INC.",98580,98580
2961,2961,HIGBEE WELDING INC.,31719,31719
2962,2962,"HILLSDALE TOOL & MFG.,INC.",32754,32754
2963,2963,HINEN PRINTING,"3,800,648,006",38006
2964,2964,HOFFMAN SALES,30102,30102
2965,2965,HOLIDAY INN EXPRESS,32822,32822
2966,2966,HOMETOWN PRODUCTIONS,32814,32814
2967,2967,"HONEYVILLE METALS, INC.",30333,30333
2968,2968,"HOOKER HANDLING SYSTEMS, INC.",30202,30202
2969,2969,HPE HEAT POWER ENGINEERING,30369,30369
2970,2970,HR DIRECT,42532,42532
2971,2971,HRG INDUSTRIAL SURPLUS,98600,98600
2972,2972,HTI INC.,41529,41529
2973,2973,"HUNTER PRODUCTS, INC.",30105,30105
2974,2974,HUNTSMAN ADVANCED MATERIALS,43077,43077
2975,2975,HUTCHINSON INDUSTRIES INC.,30219,30219
2976,2976,HYDE ENGINEERED PRODUCTS,32374,32374
2977,2977,ICONNECT,30001,30001
2978,2978,ICW GROUP,30281,30281
2979,2979,IFPE INTL EXPOSITION,30293,30293
2980,2980,ILLINOIS DEPARTMENT OF REVENUE,30276,30276
2981,2981,"IMCD US,LLC",40076,40076
2982,2982,IMPERIAL CREDIT CORPORATION,30128,30128
2983,2983,"IMPERIAL SPRING CO., INC",31494,31494
2984,2984,INDIANA CHAMBER OF COMMERCE,"3,136,041,360",31360
2985,2985,INDIANA DEPARTMENT OF ENVIRON,31700,31700
2986,2986,INDIANA DEPARTMENT OF LABOR,40005,40005
2987,2987,INDIANA DEPARTMENT OF REVENUE,22094,22094
2988,2988,INDIANA DEPT OF REVENUE,"21,706,213,173,800,700,000",21706
2989,2989,INDIANA DEPT. OF FIRE & BLDG,30013,30013
2991,2991,INDIANA DEPT. OF WORKFORCE,"2,000,030,115",20000
2992,2992,INDIANA DOL/IOSHA,30249,30249
2993,2993,INDIANA MANUFACTURERS DIRECTOR,30361,30361
2994,2994,INDIANA METROPOLITAN AREA NET.,30262,30262
2995,2995,INDIANA MICHIGAN POWER/AEP,42604,42604
2996,2996,INDIANA SAFETY & SUPPLY CO.,30300,30300
2997,2997,INDIANA SECRETARY OF STATE,30701,30701
2998,2998,INDUSTRIAL CONTROLS & ELECT.,30185,30185
2999,2999,INDUSTRIAL HEALTH INC.,31187,31187
3000,3000,INDUSTRIAL OPPORTUNITES,32372,32372
3001,3001,INDUSTRIAL PROCESS AND SENSOR,30246,30246
3002,3002,INDUSTRIAL PURCHASING AGENT,32840,32840
3003,3003,INDUSTRIAL RESOURCE SPECIALIST,43009,43009
3004,3004,INET,30264,30264
3005,3005,INFO USA,43064,43064
3006,3006,INFORMATION SYSTEMS EXPERTS,21000,21000
3007,3007,INGERSOLL-RAND CO.,"3,238,842,388",32388
3008,3008,INLINE FLUID POWER,30144,30144
3009,3009,INMED INDUSTRIAL HEALTH & WELL,43089,43089
3010,3010,INNOVATIVE MAINTENANCE SYSTEM,30332,30332
3011,3011,INOVIS INC.,"3,273,742,737",32737
3012,3012,INSCCU-ASFE,30119,30119
3013,3013,INSIGHT,30318,30318
3014,3014,INSIGHT DIRECT,30254,30254
3015,3015,INSPECTION PLUS,33021,33021
3016,3016,INSTRUMART,30378,30378
3017,3017,INTEGRATED BARCODING SYSTEM DI,30310,30310
3018,3018,INTERNATIONAL BUS. DIRECTORIES,33067,33067
3019,3019,INTERNATIONAL EXPOSITION,30251,30251
3020,3020,INTERNATIONAL SURFACE PREP,41201,41201
3021,3021,"INTERPLAST, INC.",31066,31066
3022,3022,INTERSTATE DISTRIBUTION CENTER,44001,44001
3023,3023,IPFW CONTINUING EDUCATION,40009,40009
3024,3024,IRVING GRAVELL,43022,43022
3025,3025,IT savvy LLC,30304,30304
3026,3026,ITI METRO,30159,30159
3027,3027,IVY TECH STATE COLLEGE,31044,31044
3028,3028,IWORKS,33037,33037
3029,3029,J & K ENTERPRISES,43020,43020
3030,3030,J.J. KELLER,43058,43058
3031,3031,J.O. WOLF TOOL & DIE INC.,43002,43002
3032,3032,JA NATIONWIDE,30131,30131
3033,3033,JACKSON SPRING & MFG.,41125,41125
3034,3034,JANESVILLE TOOL & MFG. INC.,30151,30151
3035,3035,JANI-PRO'S COMMERCIAL CLEANING,43008,43008
3036,3036,JAY INSTRUMENT,32757,32757
3037,3037,JAY'S  LAWN SERVICE,30295,30295
3038,3038,JEVIC,43070,43070
