entityId,internalId,Address1_AddressName,Address1_attention,Address1_Addressee,Address1_phone,Address1_line1,Address1_line2,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping
Customer ID,Internal Id,Label,Attention,Addressee,Phone,Address 1,Address 2,City,Province/State,Postal Code/Zip,Country,Default Billing,Default Shipping
WUN891767,1334,Mailing,,Veritiv - Richmond (Xpedx),,11800 North Lakeridge Parkway,,Ashland,VA,23005,United States,N,N
WUN891767,1334,Billing,,Veritiv - Richmond (Xpedx),,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,Y,N
WUN891767,1334,Shipping,,Veritiv - Richmond (Xpedx),,11800 North Lakeridge Parkway,,Ashland,VA,23005,United States,N,Y
OPR884164,1335,Mailing,,Veritiv - Roanoke,,1885 Apperson Drive,,Salem,VA,24153,United States,N,N
OPR884164,1335,Billing,,Veritiv - Roanoke,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262-0000,United States,Y,N
OPR884164,1335,Shipping,,Veritiv - Roanoke,,1885 Apperson Drive,,Salem,VA,24153,United States,N,Y
QFE611665,1336,Mailing,,Veritiv - Winston Salem,,1400 Westgate Center Drive,Suite 110,Winston-Salem,NC,27103,United States,N,N
QFE611665,1336,Billing,,Veritiv - Winston Salem,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,Y,N
QFE611665,1336,Shipping,,Veritiv - Winston Salem,,,,,,,,N,Y
EAN920189,1337,Mailing,,Weiss Brothers of Hagerstown,,18038 West Oak Ridge Drive,,Hagerstown,MD,21740-0000,United States,N,N
EAN920189,1337,Billing,,Weiss Brothers of Hagerstown,,18038 West Oak Ridge Drive,,Hagerstown,MD,21740-0000,United States,Y,N
EAN920189,1337,Shipping,,Weiss Brothers of Hagerstown,,18038 West Oak Ridge Drive,,Hagerstown,MD,21740,United States,N,Y
QSB480143,1338,Mailing,,Veritiv - Jessup,,8261 Preston Court,,Jessup,MD,20794,United States,N,N
QSB480143,1338,Billing,,Veritiv - Jessup,,PO BOX 45192,,Jacksonville,FL,32232-5048,United States,Y,N
QSB480143,1338,Shipping,,Veritiv - Jessup,,8261 Preston Court,,Jessup,MD,20794,United States,N,Y
TDE161602,1339,Mailing,,BGR Inc,,6392 Gano Road,,West Chester,OH,45069,United States,N,N
TDE161602,1339,Billing,,BGR Inc,,6392 Gano Road,RR1,West Chester,OH,45069,United States,Y,N
TDE161602,1339,Shipping,,BGR Inc,,6392 Gano Road,,West Chester,OH,45069,United States,N,Y
QPQ892062,1340,Mailing,,Becton Dickinson,,54 Loveton Circle,,Sparks,MD,21152-0000,United States,N,N
QPQ892062,1340,Billing,,Becton Dickinson,,54 Loveton Circle,,Sparks,MD,21152-0000,United States,Y,N
QPQ892062,1340,Shipping,,Becton Dickinson,,,,,,,,N,Y
IFN316196,1341,Mailing,,"Edvotek, Inc",,P.O. Box 1232,,West Bethesda,MD,20827-1232,United States,N,N
IFN316196,1341,Billing,,"Edvotek, Inc",,1121 5th Street NW,,Washington,DC,20001,United States,Y,N
IFN316196,1341,Shipping,,"Edvotek, Inc",,1121 5th Street NW,,Washington,DC,20001,United States,N,Y
WOQ644327,1342,Mailing,,3M Canada - London Manufacturing,,,,,,,,N,N
WOQ644327,1342,Billing,,3M Canada - London Manufacturing,,P. O. Box 33121,,St. Paul,MN,55133-0000,United States,Y,N
WOQ644327,1342,Shipping,,3M Canada - London Manufacturing,,,,,,,,N,Y
EAR127602,1343,Mailing,,"The ESAB Group, Inc.",,PO Box 710,,Ashtabula,OH,44005-0710,United States,N,N
EAR127602,1343,Billing,,"The ESAB Group, Inc.",,2800 Airport Road,Accts. Payable,Denton,TX,76207,United States,Y,N
EAR127602,1343,Shipping,,"The ESAB Group, Inc.",,256 Midway Drive,,Union,SC,29379,United States,N,Y
UIM226548,1344,Mailing,,White Horse Packaging Co.,,PO Box 1848,,Greenville,SC,29602-0000,United States,N,N
UIM226548,1344,Billing,,White Horse Packaging Co.,,PO Box 1269,,Fountain Inn,SC,29644-0000,United States,Y,N
UIM226548,1344,Shipping,,White Horse Packaging Co.,,303 Dale Drive,,Fountain Inn,SC,29644,United States,N,Y
IAQ844389,1345,Mailing,,Veritiv - Indianapolis,,5850 W. 80th Street,,Indianapolis,IN,46278-1320,United States,N,N
IAQ844389,1345,Billing,,Veritiv - Indianapolis,,P O Box 62717,,Cincinnati,OH,45262-0717,United States,Y,N
IAQ844389,1345,Shipping,,Veritiv - Indianapolis,,5850 W. 80th Street,,Indianapolis,IN,46278-1320,United States,N,Y
EFV029584,1346,Mailing,,Northrop Grumman,,1745A West Nursery Road,,Linthicum,MD,21090,United States,N,N
EFV029584,1346,Billing,,Northrop Grumman,,1745A West Nursery Road,,Linthicum,MD,21090,United States,Y,N
EFV029584,1346,Shipping,,Northrop Grumman,,"Gate 3A, Dock A",7323 Aviation Blvd.,Baltimore,MD,21240-2001,United States,N,Y
EDB251872,1347,Mailing,,KYOCERA AVX Components LLC,,1 AVX Boulevard,,Fountain Inn,SC,29644-9039,United States,N,N
EDB251872,1347,Billing,,KYOCERA AVX Components LLC,,1 AVX Boulevard,,Fountain Inn,SC,29644-9039,United States,Y,N
EDB251872,1347,Shipping,,KYOCERA AVX Components LLC,,1 AVX Boulevard,,Fountain Inn,SC,29644-9039,United States,N,Y
WAW842664,1348,Mailing,,"Wesco Integrated Supply, Inc.",,36 Harbor Park Drive,,Port Washington,NY,11050,United States,N,N
WAW842664,1348,Billing,,"Wesco Integrated Supply, Inc.",,"33 Earle Ovington Blvd, Suite 608",,Uniondale,NY,11050,United States,Y,N
WAW842664,1348,Shipping,,"Wesco Integrated Supply, Inc.",,185 Thorn Hill Drive,,Warrendale,PA,15086,United States,N,Y
EOQ364546,1349,Mailing,,Nitto Denko Automotive (formerly Nistem),,809 Principle Court,,Chesapeake,VA,23320,United States,N,N
EOQ364546,1349,Billing,,Nitto Denko Automotive (formerly Nistem),,809 Principal Court,,Chesapeake,VA,23320,United States,Y,N
EOQ364546,1349,Shipping,,Nitto Denko Automotive (formerly Nistem),,809 Principal Court,,Chesapeake,VA,23320,United States,N,Y
EDW368753,1350,Mailing,,The ARC of Carroll County,,180 Kriders Church Road,,Westminster,MD,21158,United States,N,N
EDW368753,1350,Billing,,The ARC of Carroll County,,180 Kriders Church Road,,Westminster,MD,21158,United States,Y,N
EDW368753,1350,Shipping,,The ARC of Carroll County,,180 Kriders Church Road,,Westminster,MD,21158,United States,N,Y
ROB070998,1351,Mailing,,Delta ModTech,,8445 Bunker Lake Blvd.,,Ramsey,MN,55303,United States,N,N
ROB070998,1351,Billing,,Delta ModTech,,8445 Bunker Lake Blvd.,,Ramsey,MN,55303,United States,Y,N
ROB070998,1351,Shipping,,Delta ModTech,,8445 Bunker Lake Blvd.,,Ramsey,MN,55303,United States,N,Y
IOE959996,1352,Mailing,,"Pro Tapes & Specialties, Inc",,,,,,,,N,N
IOE959996,1352,Billing,,"Pro Tapes & Specialties, Inc",,621 US 1 South,,Brunswick,NJ,08902,United States,Y,N
IOE959996,1352,Shipping,,"Pro Tapes & Specialties, Inc",,621 US 1 South,,Brunswick,NJ,08902,United States,N,Y
EPV432885,1353,Mailing,,Rotometrics Group-MO,,800 Howerton Lane,,Eureka,MO,63025,United States,N,N
EPV432885,1353,Billing,,Rotometrics Group-MO,,800 Howerton Lane,,Eureka,MO,63025,United States,Y,N
EPV432885,1353,Shipping,,Rotometrics Group-MO,,800 Howerton Lane,,Eureka,MO,63025,United States,N,Y
QSN810205,1354,Mailing,,"Taher, Inc.",,18185 HWY 75 N,,Willis ,TX,77378-7041,United States,N,N
QSN810205,1354,Billing,,"Taher, Inc.",,18185 HWY 75 N,,Willis ,TX,77378-7041,United States,Y,N
QSN810205,1354,Shipping,,"Taher, Inc.",,18185 HWY 75 N,,Willis ,TX,77378,United States,N,Y
OIB819681,1355,Mailing,,"Top Tier Industrial, LLC",,P. O. Box 4285,,Jackson,MI,49204,United States,N,N
OIB819681,1355,Billing,,"Top Tier Industrial, LLC",,P. O. Box 4285,,Jackson,MI,49204,United States,Y,N
OIB819681,1355,Shipping,,"Top Tier Industrial, LLC",,3728 Luella,,Jackson,MI,49201,United States,N,Y
YSV087007,1356,Mailing,,Rand Whitney Mid-Atlantic,,175 Walnut Street,,Red Lion,PA,17356,United States,N,N
YSV087007,1356,Billing,,Rand Whitney Mid-Atlantic,,175 Walnut Street,,Red Lion,PA,17356,United States,Y,N
YSV087007,1356,Shipping,,Rand Whitney Mid-Atlantic,,175 Walnut Street,,Red Lion,PA,17356,United States,N,Y
EPV985522,1357,Mailing,,Veritiv - Rochester,,1059 West Ridge Road,,Rochester,NY,14615,United States,N,N
EPV985522,1357,Billing,,Veritiv - Rochester,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,Y,N
EPV985522,1357,Shipping,,Veritiv - Rochester,,1059 West Ridge Road,,Rochester,NY,14615,United States,N,Y
YIM342938,1358,Mailing,,"Lexmark Intl. Technology, S.A. (Juarez)",,"CP 508 Geneva CH 1215 C/O Lexmark Mexico, PO Box 17410",,El Paso,TX,79917,United States,N,N
YIM342938,1358,Billing,,"Lexmark Intl. Technology, S.A. (Juarez)",,"Do Not Mail Invoices. CP 508 Geneva CH 1215 C/O Lexmark Mexico,",2931 Central Ave PMB 368,El Paso,TX,79905,United States,Y,N
YIM342938,1358,Shipping,,"Lexmark Intl. Technology, S.A. (Juarez)",,C/O Lexmark Intl Mexicana S de R.L. de C.V.,"C/O Kuehne & Nagel - 1325 Pendale Road, Suite F",El Paso,TX,79936,United States,N,Y
IDB726023,1359,Mailing,,Kyana Industrial Supply,,2501 Ampere Drive,,Louisville,KY,40299-3863,United States,N,N
IDB726023,1359,Billing,,Kyana Industrial Supply,,2501 Ampere Drive,,Louisville,KY,40299-3863,United States,Y,N
IDB726023,1359,Shipping,,Kyana Industrial Supply,,2501 Ampere Drive,,Louisville,KY,40299,United States,N,Y
UPM465018,1360,Mailing,,Veritiv - Joliet,,1701 Crossroads Drive,,Joliet,IL,60431,United States,N,N
UPM465018,1360,Billing,,Veritiv - Joliet,,PO Box 45195,,Jacksonville,FL,32232,United States,Y,N
UPM465018,1360,Shipping,,Veritiv - Joliet,,1701 Crossroads Drive,,Joliet,IL,60431,United States,N,Y
UDB397685,1361,Mailing,,"TCOM, L.P.",,7115 Thomas Edison Drive,"Columbia Gateway, Corporation Park",Columbia,MD,21046,United States,N,N
UDB397685,1361,Billing,,"TCOM, L.P.",,7115 Thomas Edison Drive,"Columbia Gateway, Corporation Park",Columbia,MD,21046,United States,Y,N
UDB397685,1361,Shipping,,"TCOM, L.P.",,190 TCOM Drive,,Elizabeth City,NC,27909,United States,N,Y
EDQ013494,1362,Mailing,,BAPS Auto Paint & Supply,,"2915 North George St., Suite #2",,York,PA,17406,United States,N,N
EDQ013494,1362,Billing,,BAPS Auto Paint & Supply,,1805 Loucks Road Suite 800,,York,PA,17408,United States,Y,N
EDQ013494,1362,Shipping,,BAPS Auto Paint & Supply,,2770 Lewisberry Road,,York,PA,17404,United States,N,Y
EUW765006,1363,Mailing,,Regal Plastics Supply Co.,,117 Industrial Drive,,Waterloo,IA,50707,United States,N,N
EUW765006,1363,Billing,,Regal Plastics Supply Co.,,111 E.10th Avenue,,North Kansas City,MO,64116,United States,Y,N
EUW765006,1363,Shipping,,Regal Plastics Supply Co.,,117 Industrial Drive,,Waterloo,IA,50707,United States,N,Y
WPB262231,1364,Mailing,,DeVito's Deli,,14302 Coastal Highway,,Ocean City,MD,21842,United States,N,N
WPB262231,1364,Billing,,DeVito's Deli,,14302 Coastal Highway,,Ocean City,MD,21842,United States,Y,N
WPB262231,1364,Shipping,,DeVito's Deli,,14302 Coastal Highway,,Ocean City,MD,21842,United States,N,Y
WSN865392,1365,Mailing,,Piedmont National,,P. O. Box 20118,,Atlanta,GA,30325,United States,N,N
WSN865392,1365,Billing,,Piedmont National,,P. O. Box 20118,,Atlanta,GA,30325,United States,Y,N
WSN865392,1365,Shipping,,Piedmont National,,"11445 Granite Street, Unit B",,Charlotte,NC,28273,United States,N,Y
TFW984145,1366,Mailing,,Veritiv - Omaha,,10500 Sapp Brothers Drive,,Omaha,NE,68138,United States,N,N
TFW984145,1366,Billing,,Veritiv - Omaha,,PO 625799,,Cincinnati,OH,45262,United States,Y,N
TFW984145,1366,Shipping,,Veritiv - Omaha,,10500 Sapp Brothers Drive,,Omaha,NE,68138,United States,N,Y
ISE414136,1367,Mailing,,Kyocera AVX-Juarez,,PO Box 971116,,El Paso,TX,79997,United States,N,N
ISE414136,1367,Billing,,Kyocera AVX-Juarez,,1 AVX Boulevard,,Fountain Inn,SC,29644-9039,United States,Y,N
ISE414136,1367,Shipping,,Kyocera AVX-Juarez,,950 Loma Verde Drive,Ceva C/O AVX Interconnect Dock Doors 16-26,El Paso,TX,79936,United States,N,Y
EPN136397,1368,Mailing,,Hauni-Richmond,,2800 Charles City Road,,Richmond,VA,23231,United States,N,N
EPN136397,1368,Billing,,Hauni-Richmond,,2800 Charles City Road,,Richmond,VA,23231,United States,Y,N
EPN136397,1368,Shipping,,Hauni-Richmond,,2800 Charles City Road,,Richmond,VA,23231,United States,N,Y
EFQ487824,1369,Mailing,,"Unique Fabricating, Inc.",,1001 West Oak Street,,Louisville,KY,40210,United States,N,N
EFQ487824,1369,Billing,,"Unique Fabricating, Inc.",,1001 West Oak Street,,Louisville,KY,40210,United States,Y,N
