externalid,binnumber,location,Concat
W1B2,W1B2,Haughton,W1B2Haughton
W1B3,W1B3,Haughton,W1B3Haughton
W1B4,W1B4,Haughton,W1B4Haughton
W1B5,W1B5,Haughton,W1B5Haughton
W1B6,W1B6,Haughton,W1B6Haughton
W1B7,W1B7,Haughton,W1B7Haughton
W1B8,W1B8,Haughton,W1B8Haughton
W1C1,W1C1,Haughton,W1C1Haughton
W1C2,W1C2,Haughton,W1C2Haughton
W1C3,W1C3,Haughton,W1C3Haughton
W1C4,W1C4,Haughton,W1C4Haughton
W1C5,W1C5,Haughton,W1C5Haughton
W1C6,W1C6,Haughton,W1C6Haughton
W1C7,W1C7,Haughton,W1C7Haughton
W1D,W1D,Haughton,W1DHaughton
W2A,W2A,Haughton,W2AHaughton
W2A1,W2A1,Haughton,W2A1Haughton
W2A2,W2A2,Haughton,W2A2Haughton
W2A3,W2A3,Haughton,W2A3Haughton
W2A4,W2A4,Haughton,W2A4Haughton
W2A5,W2A5,Haughton,W2A5Haughton
W2A6,W2A6,Haughton,W2A6Haughton
W2B,W2B,Haughton,W2BHaughton
W2B1,W2B1,Haughton,W2B1Haughton
W2B5,W2B5,Haughton,W2B5Haughton
W2B6,W2B6,Haughton,W2B6Haughton
W2B7,W2B7,Haughton,W2B7Haughton
W2B8,W2B8,Haughton,W2B8Haughton
W2B9,W2B9,Haughton,W2B9Haughton
W2C1,W2C1,Haughton,W2C1Haughton
W2C2,W2C2,Haughton,W2C2Haughton
W2C3,W2C3,Haughton,W2C3Haughton
W2C4,W2C4,Haughton,W2C4Haughton
W2C5,W2C5,Haughton,W2C5Haughton
W2C6,W2C6,Haughton,W2C6Haughton
W2C7,W2C7,Haughton,W2C7Haughton
W2C8,W2C8,Haughton,W2C8Haughton
W3A,W3A,Haughton,W3AHaughton
W3B,W3B,Haughton,W3BHaughton
W3C,W3C,Haughton,W3CHaughton
W3D,W3D,Haughton,W3DHaughton
W3E,W3E,Haughton,W3EHaughton
W3F,W3F,Haughton,W3FHaughton
W3G,W3G,Haughton,W3GHaughton
W3H,W3H,Haughton,W3HHaughton
W4A,W4A,Haughton,W4AHaughton
W4B,W4B,Haughton,W4BHaughton
W4C,W4C,Haughton,W4CHaughton
W4D,W4D,Haughton,W4DHaughton
W4E,W4E,Haughton,W4EHaughton
W4F,W4F,Haughton,W4FHaughton
W4G,W4G,Haughton,W4GHaughton
W4H,W4H,Haughton,W4HHaughton
WHSE,WHSE,Haughton,WHSEHaughton
WHSE,WHSE,Victoria,WHSEVictoria
WHSE,WHSE,Houston,WHSEHouston
WIP,WIP,Haughton,WIPHaughton
WIP,WIP,Victoria,WIPVictoria
WIP,WIP,Houston,WIPHouston
X1A,X1A,Haughton,X1AHaughton
X1B,X1B,Haughton,X1BHaughton
X1B1,X1B1,Haughton,X1B1Haughton
X1B2,X1B2,Haughton,X1B2Haughton
X1B3,X1B3,Haughton,X1B3Haughton
X1C,X1C,Haughton,X1CHaughton
X1C2,X1C2,Haughton,X1C2Haughton
X1C3,X1C3,Haughton,X1C3Haughton
X1D,X1D,Haughton,X1DHaughton
X1D1,X1D1,Haughton,X1D1Haughton
X1D2,X1D2,Haughton,X1D2Haughton
X1D3,X1D3,Haughton,X1D3Haughton
X1D4,X1D4,Haughton,X1D4Haughton
X1D5,X1D5,Haughton,X1D5Haughton
X1D6,X1D6,Haughton,X1D6Haughton
X1D7,X1D7,Haughton,X1D7Haughton
X1D8,X1D8,Haughton,X1D8Haughton
X1E,X1E,Haughton,X1EHaughton
X1F,X1F,Haughton,X1FHaughton
X2A,X2A,Haughton,X2AHaughton
X2A1,X2A1,Haughton,X2A1Haughton
X2A2,X2A2,Haughton,X2A2Haughton
X2B,X2B,Haughton,X2BHaughton
X2B4,X2B4,Haughton,X2B4Haughton
X2B5,X2B5,Haughton,X2B5Haughton
X2B7,X2B7,Haughton,X2B7Haughton
X2C,X2C,Haughton,X2CHaughton
X2C3,X2C3,Haughton,X2C3Haughton
X2C4,X2C4,Haughton,X2C4Haughton
X2D,X2D,Haughton,X2DHaughton
X2D1,X2D1,Haughton,X2D1Haughton
X2D2,X2D2,Haughton,X2D2Haughton
X2E,X2E,Haughton,X2EHaughton
X2E1,X2E1,Haughton,X2E1Haughton
X2E2,X2E2,Haughton,X2E2Haughton
X2F,X2F,Haughton,X2FHaughton
X2F1,X2F1,Haughton,X2F1Haughton
X2F2,X2F2,Haughton,X2F2Haughton
X3A,X3A,Haughton,X3AHaughton
X3B,X3B,Haughton,X3BHaughton
X3C,X3C,Haughton,X3CHaughton
X4B,X4B,Haughton,X4BHaughton
Y1A,Y1A,Haughton,Y1AHaughton
Y1A1,Y1A1,Haughton,Y1A1Haughton
Y1A2,Y1A2,Haughton,Y1A2Haughton
Y1B,Y1B,Haughton,Y1BHaughton
Y1B1,Y1B1,Haughton,Y1B1Haughton
Y1B2,Y1B2,Haughton,Y1B2Haughton
Y1B3,Y1B3,Haughton,Y1B3Haughton
Y1C,Y1C,Haughton,Y1CHaughton
Y1C2,Y1C2,Haughton,Y1C2Haughton
Y1C3,Y1C3,Haughton,Y1C3Haughton
Y1D,Y1D,Haughton,Y1DHaughton
Y1D1,Y1D1,Haughton,Y1D1Haughton
Y1E,Y1E,Haughton,Y1EHaughton
Y1E1,Y1E1,Haughton,Y1E1Haughton
Y1E2,Y1E2,Haughton,Y1E2Haughton
Y1E3,Y1E3,Haughton,Y1E3Haughton
Y1E4,Y1E4,Haughton,Y1E4Haughton
Y1F,Y1F,Haughton,Y1FHaughton
Y1F1,Y1F1,Haughton,Y1F1Haughton
Y1F2,Y1F2,Haughton,Y1F2Haughton
Y1F3,Y1F3,Haughton,Y1F3Haughton
Y1F4,Y1F4,Haughton,Y1F4Haughton
Y1F5,Y1F5,Haughton,Y1F5Haughton
Y1F6,Y1F6,Haughton,Y1F6Haughton
Y2A,Y2A,Haughton,Y2AHaughton
Y2A1,Y2A1,Haughton,Y2A1Haughton
Y2A2,Y2A2,Haughton,Y2A2Haughton
Y2A3,Y2A3,Haughton,Y2A3Haughton
Y2B,Y2B,Haughton,Y2BHaughton
Y2B2,Y2B2,Haughton,Y2B2Haughton
Y2C,Y2C,Haughton,Y2CHaughton
Y2D,Y2D,Haughton,Y2DHaughton
Y2D1,Y2D1,Haughton,Y2D1Haughton
Y2D2,Y2D2,Haughton,Y2D2Haughton
Y2E,Y2E,Haughton,Y2EHaughton
Y2E1,Y2E1,Haughton,Y2E1Haughton
Y2E3,Y2E3,Haughton,Y2E3Haughton
Y2F,Y2F,Haughton,Y2FHaughton
Y5B,Y5B,Haughton,Y5BHaughton
Y5D,Y5D,Haughton,Y5DHaughton
Z1A,Z1A,Haughton,Z1AHaughton
Z1A1,Z1A1,Houston,Z1A1Houston
