Type,tranid,entity,Vendor Internal Id,reference no,terms,Currency,exchangerate,duedate,postingperiod,subsidiary,memo,trandate,purchaseItemline_itemRef,purchaseItemline_quantity,purchaseItemLine_rate,usertotal,purchaseItemLine_location
Bill,149275,DMR MECHANICAL,2110,149275,2,US Dollar,1.00,12/01/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,2822.12,2822.12,3
Bill,408868,EDGE COMMUNICATIONS,2116,408868,2,US Dollar,1.00,01/05/2023,Dec 2022,Sullivan Process Controls,,12/6/2022,Open AP Item,1,181.54,181.54,5
Bill,IN3365,EDGE OFFICE PRODUCTS,2117,IN3365,2,US Dollar,1.00,12/21/2022,Nov 2022,Sullivan Process Controls,,11/21/2022,Open AP Item,1,60.70,60.70,4
Bill,IN3365,EDGE OFFICE PRODUCTS,2117,IN3365,2,US Dollar,1.00,12/21/2022,Nov 2022,Sullivan Process Controls,,11/21/2022,Open AP Item,1,58.20,58.20,5
Bill,IN3365,EDGE OFFICE PRODUCTS,2117,IN3365,2,US Dollar,1.00,12/21/2022,Nov 2022,Sullivan Process Controls,,11/21/2022,Open AP Item,1,52.00,52.00,3
Bill,30816,ELECTROLESS NICKEL PLATING OF LA,2119,30816,2,US Dollar,1.00,11/30/2022,Oct 2022,Sullivan Process Controls,,10/31/2022,Open AP Item,1,45.00,45.00,3
Bill,30912,ELECTROLESS NICKEL PLATING OF LA,2119,30912,2,US Dollar,1.00,12/14/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,99.88,99.88,3
Bill,03-61005-01,ELLIOTT ELECTRIC SUPPLY,2121,03-61005-01,2,US Dollar,1.00,12/30/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,566.08,566.08,3
Bill,03-61005-02,ELLIOTT ELECTRIC SUPPLY,2121,03-61005-02,2,US Dollar,1.00,12/30/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,266.01,266.01,3
Bill,03-61005-03,ELLIOTT ELECTRIC SUPPLY,2121,03-61005-03,2,US Dollar,1.00,12/31/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,182.37,182.37,3
Bill,510607,EPSI,2125,510607,2,US Dollar,1.00,12/02/2022,Nov 2022,Sullivan Process Controls,,11/2/2022,Open AP Item,1,66.95,66.95,3
Bill,511002,EPSI,2125,511002,2,US Dollar,1.00,12/08/2022,Nov 2022,Sullivan Process Controls,,11/8/2022,Open AP Item,1,481.30,481.30,5
Bill,511328,EPSI,2125,511328,2,US Dollar,1.00,12/11/2022,Nov 2022,Sullivan Process Controls,,11/11/2022,Open AP Item,1,74.64,74.64,3
Bill,511407,EPSI,2125,511407,2,US Dollar,1.00,12/14/2022,Nov 2022,Sullivan Process Controls,,11/14/2022,Open AP Item,1,201.55,201.55,3
Bill,371110,ESP,2128,371110,2,US Dollar,1.00,12/29/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,553.50,553.50,3
Bill,371109,ESP,2128,371109,2,US Dollar,1.00,12/29/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,295.20,295.20,3
Bill,373169,ESP,2128,373169,2,US Dollar,1.00,01/12/2023,Dec 2022,Sullivan Process Controls,,12/13/2022,Open AP Item,1,101.22,101.22,3
Bill,374070,ESP,2128,374070,2,US Dollar,1.00,01/19/2023,Dec 2022,Sullivan Process Controls,,12/20/2022,Open AP Item,1,482.00,482.00,3
