Item Name/Number,Display Name/Code,Primary Units Type Internal Id,Primary Units Type,Sub Unit Internal Id ,Description,Location,PRODUCTION & SPECIAL INSTRUCTIONS COMMENTS,Track Landed Cost,Costing Method,Cost Category,Use Bin,Base Price,COGS Account,Asset Account,Income Account,WIP Account,Scrap Account,Tax Schedule,Ink,Watermark,Status Notes
9134,"Sheeted Part ST-2058 2"" x 4""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Sheeted Part - ST-2058 - 2"" x 4""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,0.31097,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9135,"Die Cut Part Clip Foam 1.5"" Dia",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - Clip Foam - 1.5"" Dia",Strouse-HQ,"Need to double foam die.
At raw material splices/roll changes confirm that the center slotted slug is continuing to remove with the matrix.  Should any rip free and be left behind please remove them and assure the matrix is pulling correctly before proceeding. 06/20/2022 DT",TRUE,Average,Default Cost Category,TRUE,51.2,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,"4/13/2021 - Skip -  Try Ceve Juice, email sent to Jake to find out if it is ok to do this. Need to determine why parts are going up with the matrix. Product runs better the wrong direction, parts do not go up with the matrix. Do we want to finish on press instead of going to rewind afterward. 

1/14/2021 - RB - Look at process."
9137,"Sheeted Part N95 Strouse Mask 11.5"" x 6.5""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - N95 Strouse Mask - 11.5"" x 6.5""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,940.07,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,See Engineering before Run,
9139,"Sheeted Part 3M 4941 0.75"" x 3""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - 3M 4941 - 0.75"" x 3""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,1146.5,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9148,Spool Tape CSM - Z2000 6mm x 99m,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Spool Tape - CSM - Z2000 - 6mm x 99m,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,1812,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,Trial - See Engineering,
9149,"Sheeted Part 558.8 mm (22"") Wheel Mask 558.80mm Dia",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - 558.8 mm (22"") Wheel Mask - 558.80mm Dia",Strouse-HQ,"Do not tape boxes shut.
Keep Finished Product Separated by Raw Material Lot Number",TRUE,Average,Default Cost Category,TRUE,287.45,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9150,"Sheeted Part Foam Border, S150 2.065"" x 5.702""",3,"Each (Use for Boxes, Bags, Cores, Cases)",23,"Sheeted Part - Foam Border, S150 - 2.065"" x 5.702""",Strouse-HQ,Hair net and beard cover (if necessary) to be worn during die-cutting and packaging operation or if otherwise working with or near product in designated work cell.,TRUE,Average,Default Cost Category,TRUE,27.79,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9151,"Sheeted Part 3426A/1524 24"" x 18""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Sheeted Part - 3426A/1524 - 24"" x 18""",Strouse-HQ,Must run on Pace 3 because of unwinds and rewinds.,TRUE,Average,Default Cost Category,TRUE,13.6448,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9152,Sheeted Part 3M 5909 15mm x 11mm,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Sheeted Part - 3M 5909 - 15mm x 11mm,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,4.069045,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9153,"Die Cut Part Cling Vinyl 1.84"" x 3.86""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - Cling Vinyl - 1.84"" x 3.86""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,565.16,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
