Reference #,Adjustment Account,Date,Posting Period,Memo,Item Name Number,Vlookup,ID,Item Display Name,Location,Units,Adjust Qty By,Est. Unit Cost,Subtotal,Memo,Internal ID
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LBL-019,1,329,,BM Nagano,,528.00002,0.0024,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-00C,1,258,,BM Nagano,,537,0.0363,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-03E,1,580,,BM Nagano,,549,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-00B,1,658,,BM Nagano,,563,2.65,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-05B,1,508,,BM Nagano,,606,0.00001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CON-015,1,150,,BM Nagano,,609,0.64,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-OSC-006,1,392,,BM Nagano,,613,0.419,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-018,1,267,,BM Nagano,,618,0.77,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-00B,1,257,,BM Nagano,,639,0.012,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CON-04C,1,176,,BM Nagano,,650,0.002,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CON-010,1,145,,BM Nagano,,721,0.66,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-033,1,571,,BM Nagano,,741,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-007,1,861,,BM Nagano,,756,0.00374,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-00A,1,657,,BM Nagano,,774,2.96,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MOS-006,1,369,,BM Nagano,,776,0.018,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-014,1,874,,BM Nagano,,812,0.00257,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-01A,1,553,,BM Nagano,,828,0.0008,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-0D1,1,619,,BM Nagano,,834,0.0083,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-03C,1,487,,BM Nagano,,855,1.88,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-010,1,262,,BM Nagano,,866,0.09,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-022,1,1181,,BM Nagano,,874,0.52,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-009,1,255,,BM Nagano,,913,0.11,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DIO-009,1,189,,BM Nagano,,920,0.01,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-09A,1,608,,BM Nagano,,924,0.00214,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LBL-008,1,321,,BM Nagano,,978,0.05,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MCU-00A,1,341,,BM Nagano,,1019,3.976,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-02F,1,435,,BM Nagano,,1073,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LBL-014,1,325,,BM Nagano,,1076,0.05,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-042,1,584,,BM Nagano,,1076,0.001,,,4774
